time_yr,target,projectile,Mt_Mearth,Mp_Mearth,Rt_km,Rp_km,vimp/vesc,vimp_km/s,b,m_frag_Mearth,Regime
1972.737,E0,PI97,0.4524555555544456,0.000625,5991.273,667.2478,1.0132,7.4670,0.6867200241776895,0.0,Merge
8885.534,E1,PI149,0.23462666666666668,0.000625,4813.411,667.2478,1.0488,6.1390,0.8309161907453166,0.0,Merge
20274.585,E0,PI125,0.4530805555544456,0.000625,5994.031,667.2478,1.0983,8.0981,0.9499525046521846,0.0,Hit+Run
22309.711,E6,EI10,0.08018000000000002,0.00625,3365.238,1437.541,1.1396,4.3191,0.9186687406210314,0.0,Hit+Run
24263.565,E0,PI85,0.4530805555544456,0.000625,5994.031,667.2478,0.9962,7.3453,0.6126055367691647,0.0,Perfect
24271.116,E1,PI101,0.23525166666666666,0.000625,4817.681,667.2478,1.1656,6.8291,0.9296444434000042,0.0,Hit+Run
26208.285,E1,PI188,0.23525166666666666,0.000625,4817.681,667.2478,1.0086,5.9092,0.9405359693808809,0.0,Graze+Merge
28784.802,E0,PI120,0.4537055555544456,0.000625,5996.786,667.2478,1.0045,7.4101,0.9577351303666907,0.0,Graze+Merge
33119.67,E1,PI134,0.23587666666666665,0.000625,4821.944,667.2478,1.1722,6.8741,0.33749793048465015,0.0,Merge
35759.887,EI3,EI4,0.00625,0.00625,1437.541,1437.541,1.6,2.9806,0.4318,0.0,Merge
36693.236,E0,PI122,0.45433055555444557,0.000625,5999.538,667.2478,1.1452,8.4521,0.8512292347113428,0.0,Merge
45248.091,E1,PI138,0.23650166666666664,0.000625,4826.199,667.2478,1.1221,6.5865,0.6498541841331024,0.0,Merge
46819.184,E0,EI13,0.45495555555444556,0.00625,6002.288,1437.541,1.0659,7.4978,0.15861247326407227,0.0,Merge
49311.183,E0,EI8,0.46120555555444553,0.00625,6029.648,1437.541,1.0833,7.6576,0.6351681555334264,0.0,Merge
50959.637,E19,P537,0.041620000000000004,0.0024355585714285716,2704.547,1050.009,1.4229,4.3546,0.7083796134409809,0.0,Merge
57442.759,E0,PI162,0.4674555555544455,0.000625,6056.763,667.2478,1.0699,7.9752,0.8396944390644474,0.0,Merge
57969.439,E6,P845,0.08018000000000002,0.0024355585714285716,3365.238,1050.009,2.6311,10.168,0.6327664505089059,0.0,Merge
74155.475,E0,PI158,0.4680805555544455,0.000625,6059.461,667.2478,1.0157,7.5748,0.8030687313950077,0.0,Merge
80811.852,E1,PI156,0.23712666666666662,0.000625,4830.446,667.2478,1.088,6.3923,0.873008097783821,0.0,Merge
81105.572,E1,PI71,0.2377516666666666,0.000625,4834.687,667.2478,1.2809,7.5326,0.4033347170127566,0.0,Merge
82025.569,E0,PI140,0.4687055555544455,0.000625,6062.157,667.2478,1.1626,8.6743,0.46186371386825137,0.0,Merge
96308.072,E6,PI169,0.08261555857142859,0.000625,3398.973,667.2478,1.1844,4.7877,0.3246653834943968,0.0,Merge
97063.882,E0,PI93,0.46933055555444547,0.000625,6064.850,667.2478,1.1945,8.9165,0.8618772630825059,0.0,Merge
98011.85,E0,PI78,0.46995555555444546,0.000625,6067.541,667.2478,1.0368,7.7429,0.86732070184533,0.0,Merge
99234.455,E1,PI102,0.2383766666666666,0.000625,4838.919,667.2478,1.0244,6.0297,0.981288292159495,0.0,Hit+Run
103704.022,E0,PI102,0.47058055555444545,0.000625,6070.230,667.2478,1.0283,7.6830,0.22632234465780948,0.0,Merge
112189.56,E1,P391,0.2383766666666666,0.0024355585714285716,4838.919,1050.009,1.0965,6.2645,0.915864229653621,0.0,Hit+Run
114327.788,E1,PI199,0.2383766666666666,0.000625,4838.919,667.2478,1.1131,6.5519,0.9920977548082157,0.0,Hit+Run
125979.59,E0,PI84,0.47120555555444543,0.000625,6072.916,667.2478,1.0861,8.1186,0.9594793906100084,0.0,Hit+Run
126328.611,E0,PI67,0.47120555555444543,0.000625,6072.916,667.2478,1.0089,7.5415,0.4738381176841051,0.0,Merge
129697.908,E0,PI125,0.4718305555544454,0.000625,6075.600,667.2478,1.0638,7.9556,0.2148087989436017,0.0,Merge
131442.869,E0,PI130,0.4724555555544454,0.000625,6078.281,667.2478,1.0861,8.1261,0.9433437470920651,0.0,Hit+Run
137559.58,E0,PI70,0.4724555555544454,0.000625,6078.281,667.2478,1.0023,7.4991,0.5989498411425118,0.0,Merge
170082.076,E0,PI163,0.4730805555544454,0.000625,6080.961,667.2478,1.0707,8.0146,0.9561807953286368,0.0,Hit+Run
186410.822,EI3,PI35,0.0125,0.000625,1811.189,667.2478,2.1619,4.4448,0.6358506263935823,0.0,Merge
188820.973,E1,PI95,0.2383766666666666,0.000625,4838.919,667.2478,1.2573,7.4006,0.5606859487710529,0.0,Merge
211375.602,E0,PI112,0.4730805555544454,0.000625,6080.961,667.2478,1.0136,7.5872,0.896256167216909,0.0,Merge
