time_yr,target,projectile,Mt_Mearth,Mp_Mearth,Rt_km,Rp_km,vimp/vesc,vimp_km/s,b,m_frag_Mearth,Regime
183040.486,E37,P655,0.3838997621204409,0.0025,5671.959,1059.189,1.5007,10.158,0.12656505783995964,0.0,Merge
200233.628,E37,P242,0.3863997621204409,0.0025000000000000022,5684.245,1059.189,1.0489,7.1165,0.6244426976296014,0.0,Merge
204138.888,E4,P56,0.2755598606538634,0.0025,5078.465,1059.189,1.1033,6.6346,0.2363133211452482,0.0,Merge
204139.485,E37,P636,0.3888997621204409,0.0025,5696.477,1059.189,1.0306,7.0084,0.38324104358616556,0.0,Merge
234394.448,E75,P400,0.027500000000000004,0.0025000000000000022,2355.617,1059.189,2.7956,7.4030,0.7155548369221395,0.0,Hit+Run
346862.184,E11,E76,0.14648581557753523,0.025,4113.950,2281.955,1.0407,4.8144,0.6442453499672867,0.0,Graze+Merge
362943.008,E2,P116,0.18999999999999997,0.0025,4486.541,1059.189,3.5884,18.888,0.7558562489902035,0.0,Merge
412024.53,E38,P556,0.10025125456743904,0.0025000000000000022,3625.409,1059.189,1.0402,4.3524,0.8603441753094568,0.0,Hit+Run
496060.261,E37,P499,0.3913997621204409,0.0025,5708.658,1059.189,1.1781,8.0298,0.7107303948445709,0.0,Merge
535190.966,E37,P435,0.3938997621204409,0.0025,5720.786,1059.189,1.0849,7.4113,0.9391235286141499,0.0,Hit+Run
536545.401,E11,P9,0.17148581557753523,0.005000000000000013,4335.806,1334.495,1.1519,5.7414,0.8807258949598094,0.0,Hit+Run
605560.805,E4,FRAG1012,0.2780598606538634,0.005559860653863123,5093.777,1382.553,1.2087,7.1462,0.5670824684151495,0.0,Merge
709985.205,E11,P9,0.17148581557753523,0.005000000000000013,4335.806,1334.495,1.1224,5.5944,0.43371047718458405,0.0,Merge
753493.504,E2,P22,0.19249999999999998,0.0025,4506.133,1059.189,2.698,14.268,0.739805024139975,0.0,Merge
755995.896,E4,P277,0.2836197213077265,0.002500000000000014,5127.503,1059.189,1.2816,7.7867,0.5637466836220009,0.0,Merge
775011.547,E4,P125,0.2861197213077265,0.0025,5142.525,1059.189,1.3825,8.4261,0.616683598869705,0.0,Merge
985014.92,E11,P350,0.17648581557753523,0.0025,4377.543,1059.189,1.9424,9.9571,0.6894747554130519,0.0,Merge
1041149.926,E22,P394,0.10740880463858858,0.0025,3709.714,1059.189,2.6428,11.335,0.9283417827105543,0.0,Hit+Run
1052733.175,E11,P405,0.17898581557753523,0.0025,4398.116,1059.189,1.4023,7.2248,0.29746264179389525,0.0,Merge
1163925.065,E11,P80,0.18148581557753524,0.0024999999999999905,4418.498,1059.189,1.8909,9.7908,0.6428885810942487,0.0,Merge
1206026.78,E22,P451,0.10740880463858858,0.0025,3709.714,1059.189,2.3286,9.9875,0.8662656353498184,0.0,Hit+Run
1396196.913,E4,FRAG1013,0.2886197213077265,0.005559860653863123,5157.459,1382.553,1.0956,6.5648,0.27119983599657593,0.0,Merge
1397360.27,E2,P311,0.19499999999999998,0.0025,4525.557,1059.189,2.501,13.287,0.9809194272612785,0.0,Hit+Run
1565128.156,E4,P70,0.2941795819615896,0.0025,5190.366,1059.189,2.8041,17.261,0.6990466469070067,0.0,Merge
1630177.975,E35,P61,0.007200696730684388,0.0025,1507.018,1059.189,9.5425,16.575,0.23243551463808843,0.0,Fragment
1749029.475,E26,P172,0.2572487454325611,0.0025,4963.388,1059.189,2.9945,17.569,0.9809621212901264,0.0,Hit+Run
1749196.46,E26,P172,0.2572487454325611,0.0025,4963.388,1059.189,1.0472,6.1443,0.41618572733891773,0.0,Merge
1753450.205,E2,P225,0.19499999999999998,0.0025,4525.557,1059.189,1.1523,6.1221,0.789354493263289,0.0,Merge
1856535.138,E37,P567,0.3938997621204409,0.0025,5720.786,1059.189,1.3601,9.2913,0.5206946356763629,0.0,Merge
1997960.095,E94,P502,0.025,0.0025,2281.955,1059.189,3.474,8.9044,0.8555082472500518,0.0,Hit+Run
2083421.171,E38,P464,0.10025125456743904,0.0025,3625.409,1059.189,1.7003,7.1144,0.618964892878028,0.0,Merge
2618451.938,E37,P406,0.3963997621204409,0.0025,5732.864,1059.189,1.3488,9.2349,0.938673059916319,0.0,Hit+Run
2637069.294,E22,P197,0.10740880463858858,0.0025000000000000022,3709.714,1059.189,3.2709,14.029,0.5148897485973822,0.0,Merge
