time_yr,target,projectile,Mt_Mearth,Mp_Mearth,Rt_km,Rp_km,vimp/vesc,vimp_km/s,b,m_frag_Mearth,Regime
1126.727,E5,P85,0.16446885753017756,0.002500000000000014,4275.842,1059.189,1.163,5.8128,0.8469082233600657,0.0,Hit+Run
200738.007,E21,P211,0.29250000000000004,0.0025,5180.469,1059.189,1.377,8.4590,0.9336147331781844,0.0,Hit+Run
210989.425,E1,P57,0.12574775201273686,0.0025,3909.854,1059.189,4.0464,18.366,0.07113054624957434,0.0,Merge
285210.804,E1,P275,0.12824775201273686,0.0025,3935.595,1059.189,2.9502,13.485,0.2887803192522644,0.0,Merge
293798.95,E25,P488,0.06,0.0025,3055.232,1059.189,3.7387,13.018,0.7568238317718649,0.0,Hit+Run
349549.09,E12,P120,0.268298179500873,0.0024999999999999905,5033.457,1059.189,1.9315,11.504,0.655139142486877,0.0,Merge
487375.027,E12,P36,0.270798179500873,0.0025000000000000022,5049.043,1059.189,1.3443,8.0336,0.9285983378974977,0.0,Hit+Run
515890.18,E1,FRAG1007,0.13074775201273686,0.007283390457085482,3961.003,1512.765,2.0403,9.1537,0.7923788239502573,0.0,Hit+Run
623688.799,E12,P102,0.270798179500873,0.0024999999999999905,5049.043,1059.189,1.2796,7.6470,0.7677426884806803,0.0,Merge
732505.954,E19,P86,0.1944012603505324,0.0025,4520.920,1059.189,1.6543,8.7795,0.7120713953024701,0.0,Merge
768712.631,E1,P331,0.13074775201273686,0.0025,3961.003,1059.189,3.6345,16.729,0.7561122398664252,0.0,Merge
803261.213,E52,E94,0.027500000000000004,0.025,2355.617,2281.955,1.2201,3.6676,0.6078540082990627,0.0,Hit+Run
834282.248,E19,P84,0.1969012603505324,0.0025,4540.217,1059.189,1.1773,6.2767,0.4508264449254186,0.0,Merge
904565.221,E21,P170,0.29250000000000004,0.0025,5180.469,1059.189,1.0299,6.3267,0.3751063907958236,0.0,Merge
948561.882,E21,E18,0.29500000000000004,0.030000000000000002,5195.187,2424.939,1.2608,7.3563,0.5152149048767777,0.0,Merge
979289.237,E21,P389,0.32500000000000007,0.0025,5365.641,1059.189,1.5123,9.6465,0.8208602883339323,0.0,Merge
1067902.193,E21,P31,0.32750000000000007,0.0025,5379.364,1059.189,1.2127,7.7566,0.6667230769628278,0.0,Merge
1084857.676,E21,P173,0.33000000000000007,0.0024999999999999905,5393.017,1059.189,1.2404,7.9553,0.8654294457228092,0.0,Hit+Run
1137491.9,E1,P78,0.13324775201273686,0.0025,3986.090,1059.189,1.6616,7.7002,0.8988549172909454,0.0,Hit+Run
1168104.329,E64,P840,0.03250000000000001,0.0025,2490.510,1059.189,1.4654,4.1110,0.9221980498886182,0.0,Hit+Run
1278563.885,E5,P74,0.16446885753017756,0.0024999999999999905,4275.842,1059.189,2.4674,12.332,0.712742957352235,0.0,Merge
1315380.791,E41,P834,0.027500000000000004,0.0025,2355.617,1059.189,6.1062,16.169,0.8048181126357468,0.0,Hit+Run
1465458.692,E21,P292,0.33000000000000007,0.0025,5393.017,1059.189,1.2647,8.1112,0.5218153399311856,0.0,Merge
1515467.053,E5,P5,0.16696885753017757,0.005000000000000004,4297.399,1334.495,1.9491,9.6225,0.8209620042583321,0.0,Hit+Run
1529923.704,E21,P192,0.3325000000000001,0.0024999999999999905,5406.602,1059.189,1.541,9.9099,0.6927797534511145,0.0,Merge
1605854.717,E21,P349,0.3350000000000001,0.0025000000000000022,5420.118,1059.189,2.7501,17.732,0.690302340902428,0.0,Merge
1812726.487,E1,P262,0.13324775201273686,0.0025,3986.090,1059.189,5.01,23.217,0.35110409180284446,0.0,Merge
1889565.639,E21,P570,0.3375000000000001,0.0025,5433.568,1059.189,1.2117,7.8338,0.9844054083021267,0.0,Hit+Run
2188345.179,E12,P403,0.273298179500873,0.0025,5064.533,1059.189,1.2211,7.3214,0.7234074910691731,0.0,Merge
2348483.185,E19,P421,0.1994012603505324,0.0025,4559.352,1059.189,1.605,8.5958,0.7838927109115081,0.0,Merge
2366340.921,E21,P260,0.3375000000000001,0.0024999999999999905,5433.568,1059.189,2.6832,17.347,0.29951432086315666,0.0,Merge
2487219.191,E12,E1,0.275798179500873,0.13574775201273687,5079.929,4010.865,1.2463,7.4918,0.8352931277234097,0.0,Hit+Run
2678006.362,E12,P78,0.275798179500873,0.0025,5079.929,1059.189,1.0486,6.3076,0.6950737397889932,0.0,Merge
2715373.814,E5,P49,0.16696885753017757,0.0025,4297.399,1059.189,2.5796,12.963,0.9186726161236554,0.0,Hit+Run
3136190.978,E45,P765,0.17999999999999994,0.0025,4406.407,1059.189,2.8327,14.624,0.8245893855110953,0.0,Hit+Run
3298189.041,E1,P380,0.13574775201273687,0.0025,4010.865,1059.189,2.7138,12.660,0.6962374874282972,0.0,Merge
3415568.187,E35,P413,0.05750000000000001,0.0024999999999999905,3012.195,1059.189,2.8485,9.7696,0.6863544995280187,0.0,Merge
3816081.833,E5,P395,0.16696885753017757,0.0025,4297.399,1059.189,5.0314,25.284,0.8469502059573338,0.0,Hit+Run
3834979.24,E19,P138,0.2019012603505324,0.0025,4578.327,1059.189,1.3053,7.0220,0.6686976850116875,0.0,Merge
