time_yr,target,projectile,Mt_Mearth,Mp_Mearth,Rt_km,Rp_km,vimp/vesc,vimp_km/s,b,m_frag_Mearth,Regime
6506.48,E1,E359,0.34858679313975827,0.005527805527805528,5492.425,1379.890,1.0337,6.6293,0.6175497273131548,0.0,Merge
72531.216,E304,E28,0.5274400837282878,0.005,6305.481,1334.495,1.067,7.9581,0.43783610887662827,0.0,Merge
171524.079,E304,E65,0.5324400837282878,0.010000000000000024,6325.343,1681.359,1.097,8.0670,0.44817042058268786,0.0,Merge
180146.076,E90,E177,0.24151395024560562,0.005527805527805528,4860.055,1379.890,1.054,5.9250,0.34783965415715723,0.0,Merge
450151.854,E10,FRAG1044,0.011529584300613452,0.009999999999999998,1763.051,1681.359,6.2729,14.011,0.9031235042577387,0.0,Hit+Run
496156.772,URANUS,K404,15.909423909423909,0.02,19628.11,2118.379,1.0029,24.250,0.3931671321076303,0.0,Merge
520839.51,E90,FRAG1030,0.24704175577341114,0.009702794019057007,4896.855,1664.534,1.1987,6.6991,0.49219391912529603,0.0,Merge
539184.43,E1,FRAG1059,0.3541145986675638,0.01062886662177334,5521.305,1715.890,1.3301,8.4362,0.7544384948662932,0.0,Merge
561261.141,E1,FRAG1066,0.3647434652893371,0.005575594126043283,5576.003,1383.856,1.1137,7.2579,0.9441742441361864,0.0,Hit+Run
561278.463,E1,FRAG1066,0.3647434652893371,0.005575594126043283,5576.003,1383.856,1.0488,6.8349,0.8483547790545674,0.0,Hit+Run
611085.55,E90,E192,0.25674454979246814,0.01,4960.143,1681.359,1.1811,6.6874,0.7127099359270317,0.0,Merge
644163.514,E231,E30,0.01,0.00499999999999998,1681.359,1334.495,5.8636,11.683,0.10330598520527093,0.009472194472194473,Fragment
692414.221,FRAG1052,FRAG1066,0.005755201708353794,0.005575594126043283,1398.558,1383.856,4.9842,8.9861,0.5662262988334683,0.010526047286047285,Graze+Frag
716796.171,E90,FRAG1011,0.26674454979246814,0.027495372772925665,5023.723,2355.485,1.0045,5.6670,0.4525920643107825,0.0,Merge
858637.997,E272,FRAG1019,0.02788185718382918,0.00594536404233704,2366.470,1413.795,3.1244,8.3501,0.7554018008971405,0.0,Hit+Run
999906.895,NEPTUNE,K425,16.14942390942391,0.02,19726.32,2118.379,1.0004,24.316,0.7769631195700885,0.0,Merge
