time_yr,target,projectile,Mt_Mearth,Mp_Mearth,Rt_km,Rp_km,vimp/vesc,vimp_km/s,b,m_frag_Mearth,Regime
218186.277,FRAG1049,E224,0.010976995353580453,0.005527805527805528,1734.422,1379.890,8.2632,16.995,0.946763588601172,0.0,Hit+Run
286856.835,E153,FRAG1006,0.726775036876382,0.005822487524021482,7016.607,1403.987,1.1033,9.1941,0.5081264494118393,0.0,Merge
349891.769,NEPTUNE,K547,16.029423909423908,0.02,19677.34,2118.379,0.9999,24.241,0.2034928211796007,0.0,Perfect
466756.012,E153,E271,0.7325975244004035,0.005,7035.295,1334.495,1.7476,14.657,0.8162659322300359,0.0,Merge
580106.844,E153,E161,0.7375975244004035,0.005000000000000026,7051.264,1334.495,1.6632,13.983,0.9041785721892169,0.0,Hit+Run
640445.962,NEPTUNE,K614,16.049423909423908,0.02,19685.52,2118.379,0.9998,24.249,0.6224206620672046,0.0,Perfect
734158.0,NEPTUNE,K653,16.069423909423907,0.02,19693.69,2118.379,1.0,24.264,0.4607398781139115,0.0,Merge
797181.333,FRAG1018,E378,0.00882032042653035,0.005,1612.458,1334.495,2.0847,4.0334,0.9412812065059896,0.0,Hit+Run
822374.042,NEPTUNE,K619,16.089423909423907,0.02,19701.86,2118.379,0.9999,24.273,0.2558866124619152,0.0,Perfect
878839.198,NEPTUNE,K716,16.109423909423906,0.02,19710.02,2118.379,1.0,24.285,0.5654292074477666,0.0,Merge
942425.078,E247,E1,0.27690291182469473,0.005000000000000026,5086.702,1334.495,1.1815,6.9941,0.8405752149037554,0.0,Hit+Run
978494.788,E153,E139,0.7375975244004035,0.005,7051.264,1334.495,1.4769,12.416,0.4983787219720535,0.0,Merge
986915.224,E247,FRAG1033,0.27690291182469473,0.005527805527805528,5086.702,1379.890,1.2186,7.1950,0.4626854090333313,0.0,Merge
1108184.312,E226,E10,0.005000000000000026,0.005,1334.495,1334.495,11.185,19.343,0.7832000000000008,0.0,Graze+Frag
1147876.152,E1,E214,0.005000000000000026,0.004999999999999997,1334.495,1334.495,5.0745,8.7756,0.7109500000000006,0.0,Graze+Frag
1167050.174,E153,FRAG1009,0.7425975244004035,0.0077410452660819015,7067.161,1543.809,1.2403,10.343,0.9492400980532666,0.0,Hit+Run
1187271.644,E165,E226,0.011597887223738161,0.01,1766.526,1681.359,2.7258,6.0950,0.2158020902160128,0.01530869130869131,Fragment
1251790.796,E180,E251,0.01552780552780553,0.00499999999999998,1946.990,1334.495,8.6466,19.321,0.9430914301930372,0.0,Hit+Run
1262451.721,E160,E296,0.01,0.005,1681.359,1334.495,2.786,5.5510,0.8077156576653883,0.0,Hit+Run
1271267.433,FRAG1051,E176,0.0073209363110294644,0.005,1515.360,1334.495,6.2951,11.694,0.7410221610246559,0.007075591075591076,Graze+Frag
1445029.201,E236,E331,0.005,0.005,1334.495,1334.495,5.2122,9.0137,0.99595,0.0,Hit+Run
1604536.587,E153,E368,0.7425975244004035,0.005,7067.161,1334.495,1.12,9.4390,0.6725096575173973,0.0,Merge
1840349.717,E247,E316,0.28243071735250025,0.005,5120.328,1334.495,1.2646,7.5393,0.9148622277565546,0.0,Hit+Run
1901014.235,E153,E72,0.7475975244004035,0.005,7082.987,1334.495,1.2976,10.961,0.4952841987750237,0.0,Merge
1906925.453,E253,FRAG1053,0.01,0.005606232064281732,1681.359,1386.386,7.7127,15.541,0.9787002607971083,0.0,Hit+Run
1931415.661,URANUS,K431,15.92942390942391,0.02,19636.34,2118.379,1.0018,24.234,0.5493371813544434,0.0,Merge
1994352.955,E283,E236,0.18529517392292835,0.005,4449.199,1334.495,1.129,5.7857,0.9032720212551842,0.0,Hit+Run
2041789.907,E47,FRAG1045,0.01,0.00947219447219448,1681.359,1651.241,7.4211,16.026,0.8340196711528134,0.005642783882783883,Hit+Run
2128203.675,E153,FRAG1053,0.7525975244004035,0.005606232064281732,7098.742,1386.386,1.0454,8.8288,0.9337403013930294,0.0,Hit+Run
2146511.224,NEPTUNE,K847,16.129423909423906,0.02,19718.17,2118.379,0.9999,24.294,0.45781557383691496,0.0,Perfect
2151153.056,E153,FRAG1053,0.7525975244004035,0.005606232064281732,7098.742,1386.386,1.0724,9.0568,0.833598097220692,0.0,Merge
2152708.394,E160,FRAG1025,0.01,0.008726767310129514,1681.359,1606.737,5.2445,11.182,0.5145687128648998,0.013198801198801199,Graze+Frag
2285503.208,NEPTUNE,K780,16.149423909423906,0.02,19726.32,2118.379,0.9999,24.304,0.9660566542492801,0.0,Perfect
2380644.091,E54,FRAG1018,0.01,0.00882032042653035,1681.359,1612.458,6.8625,14.655,0.8847786689325694,0.0,Hit+Run
2424523.067,E253,E224,0.01,0.005527805527805528,1681.359,1379.890,7.7007,15.495,0.8786732033466852,0.0,Hit+Run
2449265.801,E81,E165,0.07832535033454523,0.006289195915046853,3339.088,1440.540,3.0185,11.346,0.08886297295602878,0.0069876989676989675,Fragment
2501197.503,FRAG1032,E312,0.005706284297715704,0.005000000000000026,1394.584,1334.495,3.4664,6.1340,0.8901266944667198,0.0,Hit+Run
2572775.608,E224,FRAG0001,0.005527805527805528,0.007654345654345655,1379.890,1538.024,3.4828,6.6136,0.8464018276182382,0.0,Hit+Run
2575438.473,NEPTUNE,K358,16.169423909423905,0.02,19734.46,2118.379,1.0214,24.837,0.5109522520005345,0.0,Merge
2579369.534,NEPTUNE,K781,16.189423909423905,0.02,19742.59,2118.379,0.9999,24.325,0.3271019734713134,0.0,Perfect
2631687.648,E153,FRAG1008,0.7582037564646852,0.005628948907052534,7116.325,1388.256,1.0703,9.0622,0.8380188830379114,0.0,Hit+Run
2666616.679,E211,E97,0.010000000000000007,0.005,1681.359,1334.495,4.7268,9.4181,0.8799127709092232,0.0,Hit+Run
2757520.813,E153,FRAG1008,0.7582037564646852,0.005628948907052534,7116.325,1388.256,1.0888,9.2188,0.5492517172502096,0.0,Merge
2761465.834,NEPTUNE,K822,16.209423909423904,0.02,19750.72,2118.379,0.9999,24.336,0.887870712360355,0.0,Perfect
2851363.463,E247,E47,0.28243071735250025,0.01,5120.328,1681.359,1.2418,7.2746,0.6507978839655093,0.0,Merge
2851944.959,E247,E229,0.29243071735250026,0.015000000000000025,5180.060,1924.675,1.3959,8.2037,0.8817730726535544,0.00851148851148851,Hit+Run+Frag
2859081.271,E153,E61,0.7638327053717378,0.005000000000000004,7133.893,1334.495,1.1393,9.6986,0.6652546909834588,0.0,Merge
3008963.728,NEPTUNE,K813,16.229423909423904,0.02,19758.84,2118.379,1.0,24.348,0.41184534839548326,0.0,Perfect
3080802.911,URANUS,K687,15.94942390942391,0.02,19644.55,2118.379,1.0008,24.220,0.8880379985767152,0.0,Merge
3125289.421,E247,E208,0.29243071735250026,0.01202928124691351,5180.060,1788.162,1.0574,6.2445,0.538804179398631,0.0,Merge
3288635.767,E144,E167,0.005527805527805528,0.005,1379.890,1334.495,7.0094,12.333,0.8924802741391142,0.0,Hit+Run
3304617.992,E219,E389,0.035,0.005,2552.798,1334.495,4.6574,13.347,0.9482137275128605,0.0,Hit+Run
3499436.381,E153,FRAG1009,0.7688327053717378,0.0077410452660819015,7149.425,1543.809,1.21,10.217,0.7400067992748753,0.0,Merge
3775108.232,E247,E118,0.30445999859941375,0.005,5250.136,1334.495,1.3776,8.4375,0.49219290570266716,0.0,Merge
3786390.285,FRAG1022,FRAG0002,0.006134037592087276,0.007654345654345655,1428.595,1538.024,6.4469,12.417,0.6898780935616963,0.00826040626040626,Graze+Frag
4107190.081,E247,FRAG1045,0.30945999859941375,0.00947219447219448,5278.720,1651.241,1.6239,9.8423,0.7885369585059928,0.0,Hit+Run
4107533.028,E153,E302,0.7765737506378196,0.005,7173.340,1334.495,1.7373,14.876,0.2955223579642832,0.0,Merge
4303111.285,E131,E161,0.005527805527805522,0.005000000000000026,1379.890,1334.495,8.9901,15.818,0.88058460404635,0.0,Hit+Run
4349799.274,E283,E331,0.18529517392292835,0.005,4449.199,1334.495,1.2137,6.2198,0.8726552383851822,0.0,Hit+Run
4454978.919,E81,FRAG0001,0.07762686726191309,0.007654345654345655,3329.133,1538.024,1.6291,6.0924,0.19411905557744152,0.0,Merge
4477634.085,FRAG1055,FRAG1029,0.008045320641400533,0.0061189881422391845,1563.777,1427.426,5.7181,11.116,0.8997250626848216,0.0,Hit+Run
4545872.219,NEPTUNE,K59,16.249423909423903,0.02,19766.95,2118.379,1.0006,24.374,0.4660540482023691,0.0,Merge
4604471.822,NEPTUNE,K776,16.269423909423903,0.02,19775.06,2118.379,1.0003,24.377,0.7938588311774303,0.0,Merge
4605909.492,E81,FRAG1035,0.08528121291625874,0.009999999999999964,3435.144,1681.359,1.1936,4.6018,0.6360031093996229,0.0,Merge
4666724.214,FRAG1056,E290,0.007151258161164989,0.005,1503.561,1334.495,5.1241,9.4727,0.8020953341443876,0.0,Hit+Run
4675613.877,ICE1,K657,7.9547119547119545,0.02,15578.84,2118.379,1.0022,19.007,0.6383926689765261,0.0,Merge
4691043.002,E153,FRAG1045,0.7815737506378196,0.00947219447219448,7188.702,1651.241,1.0702,9.0447,0.8137759912165325,0.0,Hit+Run
4705940.868,FRAG1016,FRAG1047,0.006785662959120843,0.005976995353580454,1477.490,1416.298,8.7426,16.403,0.45987303278962494,0.012661438561438563,Fragment
4752283.637,E247,FRAG1054,0.30945999859941375,0.010000000000000007,5278.720,1681.359,1.5863,9.6016,0.8694620574183611,0.0,Hit+Run
4969534.367,E153,E389,0.7815737506378196,0.005,7188.702,1334.495,1.3345,11.453,0.8167754999423663,0.0,Merge
4982910.021,FRAG1049,FRAG1039,0.010976995353580453,0.005774003463590576,1734.422,1400.080,6.9837,14.423,0.8386863474874822,0.0,Hit+Run
5031276.16,E14,FRAG1039,0.010527805527805535,0.005774003463590576,1710.434,1400.080,4.4118,9.0234,0.7795211913838577,0.0,Hit+Run
5121137.006,E360,FRAG0008,0.005,0.00826040626040626,1334.495,1577.590,8.8356,16.844,0.7940747291384622,0.009783110223110224,Graze+Frag
5148517.36,E153,FRAG1045,0.7865737506378196,0.00947219447219448,7203.999,1651.241,1.1785,9.9828,0.8681985993636234,0.0,Hit+Run
5172841.542,E153,FRAG1045,0.7865737506378196,0.00947219447219448,7203.999,1651.241,1.0471,8.8698,0.6879204794058096,0.0,Merge
5339668.656,FRAG1054,E340,0.010000000000000007,0.005,1681.359,1334.495,6.7753,13.499,0.832747706967691,0.0,Hit+Run
5370283.936,E153,E161,0.7960459451100141,0.005000000000000026,7232.801,1334.495,1.2603,10.887,0.8597676606572024,0.0,Hit+Run
5394039.633,E81,E180,0.09528121291625871,0.01552780552780553,3564.480,1946.990,1.8572,7.4399,0.4983766846804603,0.007483183483183484,Fragment
5399878.421,E153,E253,0.7960459451100141,0.01,7232.801,1681.359,1.1942,10.145,0.5676437868382856,0.0,Merge
5551173.859,E81,FRAG0011,0.10332583496088076,0.007483183483183484,3662.099,1526.473,1.2463,5.1456,0.8158352465788064,0.0,Hit+Run
5617015.223,FRAG1055,E274,0.008045320641400533,0.005,1563.777,1334.495,4.2813,8.1150,0.5799136058979455,0.009343649683649683,Graze+Frag
5758680.273,E153,FRAG0007,0.8060459451100142,0.00851148851148851,7262.962,1593.415,1.1538,9.8860,0.9056173386636109,0.0,Hit+Run
5896200.284,FRAG1049,E2,0.010976995353580453,0.005527805527805528,1734.422,1379.890,5.3917,11.089,0.6993241401214658,0.00854985680985681,Graze+Frag
6121357.759,E153,FRAG1019,0.8060459451100142,0.006962972526805015,7262.962,1490.248,1.4593,12.565,0.956284962416927,0.0,Hit+Run
