time_yr,target,projectile,Mt_Mearth,Mp_Mearth,Rt_km,Rp_km,vimp/vesc,vimp_km/s,b,m_frag_Mearth,Regime
33051.965,E0,P2,0.03250000000000001,0.0024999999999999905,2490.510,1059.189,2.407,6.7526,0.6634437583495721,0.0,Merge
37290.812,E25,P251,0.06,0.0025,3055.232,1059.189,1.006,3.5030,0.6044491749041384,0.0,Merge
60134.405,E2,P6,0.027500000000000004,0.0025,2355.617,1059.189,2.575,6.8188,0.8493807680538228,0.0,Hit+Run
61972.931,E1,P79,0.0425,0.0025000000000000022,2723.475,1059.189,1.2234,3.7699,0.4431529071216266,0.0,Merge
63087.068,E25,E30,0.0625,0.027500000000000004,3097.090,2355.617,1.0875,3.9473,0.6730696350355538,0.0,Graze+Merge
112294.904,E52,P322,0.03250000000000001,0.0025,2490.510,1059.189,1.0984,3.0814,0.8463538554326233,0.0,Hit+Run
137033.6,E14,P205,0.025,0.0025000000000000022,2281.955,1059.189,1.871,4.7956,0.9436817381649342,0.0,Hit+Run
141910.679,E79,P605,0.05,0.0025,2875.083,1059.189,1.3437,4.3853,0.5835999428087746,0.0,Merge
194465.119,E9,P97,0.16499999999999998,0.0025,4280.440,1059.189,0.9968,4.9878,0.7376655449382017,0.0,Perfect
202660.596,E9,P132,0.16749999999999998,0.0025,4301.950,1059.189,1.0703,5.3846,0.9786460515642216,0.0,Hit+Run
231433.63,E24,P302,0.052500000000000005,0.0025,2922.224,1059.189,1.3487,4.4785,0.4455176259170024,0.0,Merge
249421.046,E45,P476,0.027500000000000004,0.0025,2355.617,1059.189,1.002,2.6533,0.5315786728354388,0.0,Merge
259515.499,E22,P310,0.052500000000000005,0.0025000000000000022,2922.224,1059.189,1.6121,5.3531,0.7275075301629863,0.0,Merge
261182.385,E55,P388,0.027500000000000004,0.0025,2355.617,1059.189,1.2228,3.2381,0.4972944007877859,0.0,Merge
268892.067,E11,P75,0.027500000000000004,0.0025,2355.617,1059.189,1.3458,3.5638,0.3581568218740719,0.0,Merge
286071.528,E25,E31,0.09,0.030000000000000002,3497.368,2424.939,1.0075,4.0517,0.6308754169482638,0.0,Graze+Merge
288176.556,E4,P77,0.10500000000000004,0.0025,3681.772,1059.189,1.7691,7.5262,0.5471836001657953,0.0,Merge
318175.617,E50,P632,0.025,0.0025,2281.955,1059.189,1.0848,2.7805,0.7753256923824516,0.0,Hit+Run
332469.882,E9,E0,0.16749999999999998,0.034999999999999996,4301.950,2552.798,1.0128,4.9181,0.8349416131483062,0.0,Graze+Merge
415920.061,E52,E51,0.03250000000000001,0.030000000000000002,2490.510,2424.939,1.0675,3.4008,0.992464862950829,0.0,Hit+Run
422088.285,E9,P121,0.20249999999999999,0.0025,4582.848,1059.189,1.0863,5.8501,0.3544738526100951,0.0,Merge
450867.164,E4,P118,0.10750000000000004,0.0025000000000000022,3710.764,1059.189,1.2387,5.3145,0.7557740110971728,0.0,Merge
477073.17,E17,E19,0.18500000000000003,0.0463663309795687,4446.835,2803.677,1.0127,5.1109,0.553024529396614,0.005861804861804862,Fragment
491215.764,E4,E3,0.11000000000000004,0.027500000000000004,3739.309,2355.617,1.2585,5.3404,0.6710591963785585,0.0,Hit+Run
494028.638,E42,P616,0.025,0.0025,2281.955,1059.189,1.2642,3.2403,0.8176708235731774,0.0,Hit+Run
503917.694,E24,P194,0.05500000000000001,0.0025,2967.891,1059.189,2.0659,6.9743,0.2640611011251068,0.0,Merge
514700.414,E1,P48,0.045000000000000005,0.0025,2775.862,1059.189,2.9458,9.2623,0.813204434070615,0.0,Hit+Run
536858.743,E9,P159,0.205,0.0025,4601.631,1059.189,1.7279,9.3464,0.9935968033934136,0.0,Hit+Run
609190.113,E4,E1,0.11000000000000004,0.045000000000000005,3739.309,2775.862,1.0386,4.5259,0.9561818450497364,0.0,Hit+Run
628142.504,E9,P45,0.205,0.0025,4601.631,1059.189,1.7711,9.5800,0.2943478708244744,0.0,Merge
628928.415,E25,P321,0.12,0.0025,3849.351,1059.189,1.3053,5.8258,0.9558011721076847,0.0,Hit+Run
669268.616,E17,P299,0.22550452611776384,0.0025,4750.204,1059.189,1.385,7.7519,0.6114583714569503,0.0,Merge
693575.355,E35,P401,0.05500000000000001,0.0025,2967.891,1059.189,1.2286,4.1476,0.483387318526256,0.0,Merge
707037.663,E14,P151,0.025,0.0025,2281.955,1059.189,1.329,3.4064,0.5424274708334593,0.0,Merge
707433.468,E1,P154,0.045000000000000005,0.0025,2775.862,1059.189,3.4365,10.805,0.5466963142443574,0.0,Merge
746488.759,E20,P100,0.035,0.0025000000000000022,2552.798,1059.189,2.533,7.2918,0.9711549339142199,0.0,Hit+Run
755572.947,E20,P309,0.035,0.0025,2552.798,1059.189,2.5163,7.2437,0.3451801686367113,0.0,Merge
756180.479,E17,P87,0.22800452611776384,0.0025,4767.693,1059.189,1.1014,6.1890,0.7111999480623973,0.0,Merge
764398.953,E15,P253,0.027500000000000004,0.0025,2355.617,1059.189,2.8516,7.5513,0.28269003390599895,0.0,Merge
767561.675,E50,P424,0.025,0.0025,2281.955,1059.189,1.0334,2.6487,0.91192288977189,0.0,Hit+Run
769422.093,E51,P270,0.030000000000000002,0.0025,2424.939,1059.189,1.1772,3.2121,0.5380047710415766,0.0,Merge
796104.563,E65,P789,0.025,0.0025,2281.955,1059.189,1.1109,2.8474,0.7757354839746199,0.0,Hit+Run
808070.15,ICE1,P257,15.97942390942391,0.0025,19656.86,1059.189,1.3217,32.798,0.9789502677330131,0.0,Hit+Run
825794.986,E3,E2,0.027500000000000004,0.027500000000000004,2355.617,2355.617,3.6735,11.213,0.9564,0.0,Hit+Run
856614.649,E17,P230,0.23050452611776384,0.0025,4785.055,1059.189,1.0384,5.8578,0.9360105669306976,0.0,Hit+Run
858410.495,E17,P173,0.23050452611776384,0.0025,4785.055,1059.189,1.2363,6.9742,0.8579005178708756,0.0,Hit+Run
858494.216,E17,P173,0.23050452611776384,0.0025,4785.055,1059.189,1.0468,5.9052,0.8331738566381018,0.0,Hit+Run
889888.835,E60,P506,0.025,0.0025,2281.955,1059.189,1.6613,4.2581,0.9442281269544921,0.0,Hit+Run
894251.529,E9,P357,0.2075,0.0025,4620.261,1059.189,1.242,6.7473,0.5847473095297762,0.0,Merge
910570.997,E25,E24,0.12,0.05750000000000001,3849.351,3012.195,1.0151,4.6126,0.5105692616680299,0.008335664335664336,Fragment
930176.948,E49,P396,0.025,0.0025,2281.955,1059.189,1.4992,3.8426,0.6063549592117166,0.0,Merge
953805.935,E17,P247,0.23050452611776384,0.0025,4785.055,1059.189,1.2059,6.8027,0.11110622282408647,0.0,Merge
988717.236,E9,P163,0.21,0.0025,4638.742,1059.189,1.0668,5.8205,0.5649107758786668,0.0,Merge
997404.25,E17,P244,0.23300452611776384,0.0025,4802.292,1059.189,1.3564,7.6814,0.5341813730500119,0.0,Merge
1024645.166,E45,P505,0.030000000000000002,0.0025,2424.939,1059.189,1.164,3.1761,0.8484189080202872,0.0,Hit+Run
1083227.902,E47,E46,0.027500000000000004,0.025,2355.617,2281.955,1.2208,3.6697,0.8387135777583457,0.0,Hit+Run
1111816.132,E25,E32,0.16916433566433564,0.027500000000000004,4316.152,2355.617,1.0457,5.0723,0.4100874482008855,0.0,Merge
1112961.326,E4,P7,0.11000000000000004,0.0025,3739.309,1059.189,2.2961,9.9328,0.6590256126453835,0.0,Merge
1134243.259,E52,P474,0.03250000000000001,0.0025,2490.510,1059.189,1.239,3.4758,0.7414629482062476,0.0,Hit+Run
1154821.133,P1,P48,0.0025,0.0025,1059.189,1059.189,2.9139,3.9995,0.94535,0.0,Hit+Run
1196432.069,E2,P18,0.027500000000000004,0.0025000000000000022,2355.617,1059.189,2.4235,6.4176,0.6591272020429039,0.0,Merge
1209723.234,E46,E48,0.025,0.025,2281.955,2281.955,1.1437,3.3820,0.72695,0.0,Hit+Run
1247313.44,E38,P297,0.025,0.0025,2281.955,1059.189,1.7097,4.3822,0.9639664219772658,0.0,Hit+Run
1271445.944,E4,P55,0.11250000000000004,0.0025,3767.425,1059.189,2.9751,12.974,0.44085590865086016,0.0,Merge
1315675.357,E9,E11,0.2125,0.030000000000000002,4657.077,2424.939,1.1503,6.0137,0.7962123570213583,0.0,Hit+Run
1387057.551,E15,P54,0.030000000000000002,0.0025,2424.939,1059.189,3.5179,9.5992,0.9847644897111602,0.0,Hit+Run
1388265.926,E17,FRAG0001,0.23550452611776385,0.005861804861804862,4819.407,1407.141,1.1395,6.3384,0.8449861091593961,0.0,Hit+Run
1409040.054,E55,P586,0.030000000000000002,0.0025,2424.939,1059.189,1.4631,3.9923,0.45838284891071457,0.0,Merge
1421777.734,E25,P290,0.19666433566433564,0.0025,4538.396,1059.189,1.036,5.5210,0.7250781987127397,0.0,Merge
1450170.38,E33,P139,0.035,0.0025,2552.798,1059.189,1.5578,4.4844,0.22785848969794376,0.0,Merge
1468100.787,E49,P231,0.0275,0.0025,2355.617,1059.189,4.6519,12.318,0.8206150911043836,0.0,Hit+Run
1590629.51,E43,P581,0.025,0.0025,2281.955,1059.189,1.4251,3.6527,0.9741429131827789,0.0,Hit+Run
1620033.591,E17,P238,0.23550452611776385,0.0025,4819.407,1059.189,1.1651,6.6233,0.5543640833296333,0.0,Merge
1669970.3,E9,P19,0.2125,0.0025,4657.077,1059.189,2.1941,12.022,0.4670709665069458,0.0,Merge
1687443.045,E11,P261,0.030000000000000002,0.0025,2424.939,1059.189,2.6601,7.2585,0.5139233155719277,0.0,Merge
1755634.377,E51,P677,0.0325,0.0025,2490.510,1059.189,1.9763,5.5443,0.5262085646808152,0.0,Merge
1788791.573,E3,P13,0.027500000000000004,0.0025,2355.617,1059.189,5.3967,14.291,0.6437441182066331,0.0,Merge
1830881.848,E34,P612,0.027500000000000004,0.0025,2355.617,1059.189,4.6205,12.235,0.4366588371461624,0.006857142857142858,Fragment
1865059.594,E25,P71,0.19916433566433564,0.0025000000000000022,4557.545,1059.189,1.5742,8.4273,0.9468489216561992,0.0,Hit+Run
1878702.571,E9,P54,0.215,0.0025,4675.269,1059.189,1.7328,9.5343,0.6952010678942246,0.0,Merge
1911555.369,E9,P242,0.2175,0.0025,4693.321,1059.189,1.0731,5.9289,0.24663854735640675,0.0,Merge
2011629.812,E9,E1,0.22,0.04750000000000001,4711.234,2826.344,1.0524,5.6012,0.8495447003320902,0.0,Hit+Run
2015249.763,E9,E1,0.22,0.04750000000000001,4711.234,2826.344,1.0737,5.7146,0.4041462648872347,0.010143856143856144,Fragment
2129453.511,E9,P53,0.25735614385614386,0.0025000000000000022,4964.079,1059.189,1.55,9.0957,0.947031130695289,0.0,Hit+Run
2131760.648,E25,P158,0.19916433566433564,0.0025,4557.545,1059.189,1.6704,8.9423,0.9997536690141425,0.0,Hit+Run
2157360.843,E64,P394,0.025,0.0025,2281.955,1059.189,1.1393,2.9202,0.6476756114220216,0.0,Merge
2222886.633,E38,P237,0.025,0.0025,2281.955,1059.189,1.1383,2.9176,0.6243857892671223,0.0,Merge
2223844.969,E17,P411,0.23800452611776385,0.0025,4836.400,1059.189,1.1043,6.3014,0.7837547519763434,0.0,Merge
2274460.971,E44,E46,0.027500000000000004,0.025,2355.617,2281.955,1.0668,3.2068,0.9824611204579651,0.0,Hit+Run
2278096.359,E14,P30,0.0275,0.0025,2355.617,1059.189,3.0718,8.1344,0.9579591266111781,0.0,Hit+Run
2333625.971,E17,P413,0.24050452611776385,0.0025,4853.275,1059.189,1.5726,9.0073,0.6090742404596116,0.0,Merge
2350097.703,E17,P379,0.24300452611776385,0.0025,4870.033,1059.189,1.1881,6.8303,0.8996368214134343,0.0,Hit+Run
2400092.262,E25,P390,0.19916433566433564,0.0025,4557.545,1059.189,1.0128,5.4219,0.7348242209716804,0.0,Merge
2433760.041,E41,P365,0.025,0.0025,2281.955,1059.189,2.8657,7.3452,0.869577758581164,0.0,Hit+Run
2457413.168,E25,P158,0.20166433566433564,0.0025,4576.536,1059.189,1.0112,5.4376,0.9511634635348442,0.0,Graze+Merge
2496825.442,P6,P82,0.0025,0.0025,1059.189,1059.189,10.899,14.960,0.91235,0.0,Hit+Run
2516813.994,E15,P169,0.030000000000000002,0.0025,2424.939,1059.189,2.8587,7.8004,0.576354140879081,0.0,Merge
2543794.264,P1,P170,0.0025,0.0025,1059.189,1059.189,12.473,17.121,0.6607,0.0,Graze+Frag
2572672.502,P6,P83,0.0025,0.0025,1059.189,1059.189,15.410,21.152,0.28170000000000006,0.0,Merge
2671522.33,E51,P471,0.035,0.0025,2552.798,1059.189,3.7474,10.787,0.7298680592775014,0.0,Hit+Run
2755651.241,E39,FRAG0002,0.025,0.008335664335664336,2281.955,1582.367,2.1452,5.6291,0.8971753558245039,0.0,Hit+Run
2761857.706,E14,P44,0.0275,0.0024999999999999905,2355.617,1059.189,2.6253,6.9520,0.8783533923194452,0.0,Hit+Run
2765088.772,E11,P320,0.0325,0.0025,2490.510,1059.189,2.8222,7.9174,0.8420740257732193,0.0,Hit+Run
2788249.045,E9,P161,0.25735614385614386,0.0025,4964.079,1059.189,1.9156,11.241,0.0957662669800649,0.0,Merge
2810973.02,E45,P227,0.030000000000000002,0.0025,2424.939,1059.189,3.856,10.521,0.725854043621294,0.0,Hit+Run
2818640.709,E50,P641,0.025,0.0025,2281.955,1059.189,1.2801,3.2811,0.3125343876270347,0.0,Merge
2878855.225,E9,P101,0.25985614385614386,0.0025,4980.101,1059.189,1.7619,10.375,0.6941624610056604,0.0,Merge
2945333.456,E17,E11,0.24300452611776385,0.0325,4870.033,2490.510,1.6888,9.2309,0.9069767695524431,0.0,Hit+Run
2981906.292,E9,E4,0.26235614385614386,0.11500000000000005,4996.021,3795.128,1.2194,7.1376,0.50192365371478,0.02507025641025641,Fragment
3006482.693,E17,P166,0.24300452611776385,0.0025,4870.033,1059.189,3.2433,18.645,0.7161447499227366,0.0,Merge
3012676.529,P1,P181,0.005,0.0025,1334.495,1059.189,12.317,19.479,0.40006678350406044,0.0,Fragment
3127281.747,E11,P133,0.0325,0.0025,2490.510,1059.189,4.1915,11.758,0.37592339860797447,0.0,Merge
3152907.835,E9,P150,0.35228654678654686,0.0025,5511.788,1059.189,1.347,8.8428,0.5289522469217489,0.0,Merge
3155041.092,E20,P68,0.037500000000000006,0.0025,2612.187,1059.189,2.7218,8.0265,0.7724762339066596,0.0,Hit+Run
3233431.53,E17,P9,0.24550452611776385,0.0025,4886.677,1059.189,2.4672,14.235,0.15640017840646248,0.0,Merge
3243008.222,P14,P141,0.0025,0.0025,1059.189,1059.189,9.4558,12.978,0.98765,0.0,Hit+Run
3263501.252,E17,P68,0.24800452611776386,0.0025,4903.208,1059.189,1.2708,7.3592,0.7217810377463113,0.0,Merge
3264872.867,E25,E33,0.20416433566433564,0.037500000000000006,4595.369,2612.187,1.6397,8.4826,0.5441716575769697,0.012388278388278388,Fragment
3353071.278,E25,E15,0.22927605727605727,0.0325,4776.540,2490.510,1.1308,6.0635,0.6189017569019231,0.0,Merge
3408904.159,E11,P173,0.035,0.0025,2552.798,1059.189,6.0009,17.274,0.8502994694652485,0.0,Hit+Run
3416332.169,E17,P141,0.25050452611776386,0.0025,4919.629,1059.189,2.2613,13.142,0.924052636673105,0.0,Hit+Run
3424197.314,E9,P191,0.35478654678654686,0.0025,5524.795,1059.189,2.0966,13.798,0.8481049814653936,0.0,Hit+Run
3495591.085,E17,P30,0.25050452611776386,0.0025,4919.629,1059.189,1.7994,10.457,0.9356547223161066,0.0,Hit+Run
3540178.427,E48,P39,0.025,0.0025,2281.955,1059.189,7.9568,20.394,0.4894277582463573,0.019411588411588413,Fragment
3544469.979,E51,E63,0.035,0.025,2552.798,2281.955,1.1895,3.7437,0.833252576361834,0.0,Hit+Run
3582746.374,E14,P98,0.0275,0.0025,2355.617,1059.189,3.1355,8.3031,0.898496264427925,0.0,Hit+Run
