-6.396682817e+00,-1.506822489e+01,-2.760201723e-01
-6.396682817e+00,-1.437507771e+01,-2.761737008e-01
-6.396682817e+00,-1.396961260e+01,-2.762973217e-01
-6.396682817e+00,-1.368193053e+01,-2.764057943e-01
-6.396682817e+00,-1.345878698e+01,-2.765113441e-01
-6.396682817e+00,-1.327646542e+01,-2.766197175e-01
-6.396682817e+00,-1.312231474e+01,-2.767390546e-01
-6.396682817e+00,-1.298878335e+01,-2.768697011e-01
-6.396682817e+00,-1.287100032e+01,-2.770131418e-01
-6.396682817e+00,-1.276563980e+01,-2.770436832e-01
-6.396682817e+00,-1.276563980e+01,-2.770443240e-01
-6.396682817e+00,-1.267032962e+01,-2.773414093e-01
-6.396682817e+00,-1.258331824e+01,-2.775269824e-01
-6.396682817e+00,-1.250327554e+01,-2.777270909e-01
-6.396682817e+00,-1.242916756e+01,-2.779418147e-01
-6.396682817e+00,-1.236017469e+01,-2.781711977e-01
-6.396682817e+00,-1.229563617e+01,-2.784152597e-01
-6.396682817e+00,-1.223501155e+01,-2.786740135e-01
-6.396682817e+00,-1.217785313e+01,-2.789474607e-01
-6.396682817e+00,-1.212378591e+01,-2.792355831e-01
-6.396682817e+00,-1.207249262e+01,-2.795422293e-01
-6.396682817e+00,-1.207249262e+01,-2.795417299e-01
-6.396682817e+00,-1.202370245e+01,-2.798558562e-01
-6.396682817e+00,-1.197718244e+01,-2.801879867e-01
-6.396682817e+00,-1.193273068e+01,-2.805347751e-01
-6.396682817e+00,-1.189017106e+01,-2.808982452e-01
-6.396682817e+00,-1.184934907e+01,-2.812743451e-01
-6.396682817e+00,-1.181012835e+01,-2.816650571e-01
-6.396682817e+00,-1.177238803e+01,-2.820703654e-01
-6.396682817e+00,-1.173602038e+01,-2.824902434e-01
-6.396682817e+00,-1.170092906e+01,-2.829246917e-01
-6.396682817e+00,-1.166702751e+01,-2.832340787e-01
-6.396682817e+00,-1.166702751e+01,-2.832336164e-01
-6.396682817e+00,-1.163423769e+01,-2.838372050e-01
-6.396682817e+00,-1.160248899e+01,-2.843152389e-01
-6.396682817e+00,-1.157171733e+01,-2.848077780e-01
