#DataThief /Users/simonlock/Dropbox/Research/Other_peoples_data/Kokubo&Genda2010/Pages from Kokubo, Genda - 2010 - Formation of terrestrial planets from protoplanets under a realistic accretion condition-page-001.jpg Thursday 7-Dec-2017 2:40:22 PM
0.2497, 2.4641, 0.5831, 0.5831
0.3517, 2.483, 0.8043, 0.8244
0.4537, 2.4219, 0.7239, 0.744
0.5556, 1.8895, 0.7843, 0.8043
0.6522, 2.079, 0.6736, 0.6736
0.7517, 2.1181, 0.6435, 0.6535
0.851, 2.4781, 0.6736, 0.6736
0.9529, 2.1863, 1.116, 1.1059
1.055, 2.1652, 0.9251, 0.9451
1.157, 2.1141, 0.8322, 0.7821
1.2537, 1.9727, 1.2634, 1.2032
1.3557, 2.8239, 0.6116, 0.6114
1.4577, 1.72, 1.0428, 1.0026
1.6591, 2.5502, 0.1003, 0.0601
1.7584, 1.8473, 0.1103, 0.1103
