1.667078114e-03,0.000000000e+00,7.589202212e-01
1.667078114e-03,0.000000000e+00,7.589210150e-01
1.667078114e-03,2.857281815e-07,7.587976239e-01
1.667078114e-03,5.714563629e-07,7.586811358e-01
1.667078114e-03,8.571845444e-07,7.585873527e-01
1.667078114e-03,1.142912726e-06,7.585050713e-01
1.667078114e-03,1.428640907e-06,7.584250155e-01
1.667078114e-03,1.714369089e-06,7.583428268e-01
1.667078114e-03,2.000097270e-06,7.582523338e-01
1.667078114e-03,2.285825452e-06,7.581532772e-01
1.667078114e-03,2.571553633e-06,7.580445350e-01
1.667078114e-03,2.857281815e-06,7.580213836e-01
1.667078114e-03,2.857281815e-06,7.580208978e-01
1.667078114e-03,3.143009996e-06,7.577957344e-01
1.667078114e-03,3.428738178e-06,7.576551210e-01
1.667078114e-03,3.714466359e-06,7.575035229e-01
1.667078114e-03,4.000194540e-06,7.573408864e-01
1.667078114e-03,4.285922722e-06,7.571671851e-01
1.667078114e-03,4.571650903e-06,7.569824119e-01
1.667078114e-03,4.857379085e-06,7.567865652e-01
1.667078114e-03,5.143107266e-06,7.565796523e-01
1.667078114e-03,5.428835448e-06,7.563616962e-01
1.667078114e-03,5.714563629e-06,7.561297963e-01
1.667078114e-03,5.714563629e-06,7.561301740e-01
1.667078114e-03,6.000291811e-06,7.558926908e-01
1.667078114e-03,6.286019992e-06,7.556416775e-01
1.667078114e-03,6.571748174e-06,7.553796752e-01
1.667078114e-03,6.857476355e-06,7.551051672e-01
1.667078114e-03,7.143204537e-06,7.548212255e-01
1.667078114e-03,7.428932718e-06,7.545263654e-01
1.667078114e-03,7.714660899e-06,7.542206117e-01
1.667078114e-03,8.000389081e-06,7.539039975e-01
1.667078114e-03,8.286117262e-06,7.535765363e-01
1.667078114e-03,8.571845444e-06,7.533434256e-01
1.667078114e-03,8.571845444e-06,7.533437739e-01
1.667078114e-03,8.857573625e-06,7.528892013e-01
1.667078114e-03,9.143301807e-06,7.525293808e-01
1.667078114e-03,9.429029988e-06,7.521588219e-01
1.667078114e-03,9.714758170e-06,7.517775658e-01
1.667078114e-03,1.000048635e-05,7.515739248e-01
1.667078114e-03,1.028621453e-05,7.512244308e-01
1.667078114e-03,1.057194271e-05,7.508331540e-01
1.667078114e-03,1.085767090e-05,7.504215610e-01
1.667078114e-03,1.114339908e-05,7.499963556e-01
1.667078114e-03,1.142912726e-05,7.494086894e-01
1.667078114e-03,1.142912726e-05,7.495406304e-01
1.667078114e-03,1.171485544e-05,7.491121215e-01
1.667078114e-03,1.200058362e-05,7.486540501e-01
1.667078114e-03,1.228631180e-05,7.481855325e-01
1.667078114e-03,1.257203998e-05,7.477066325e-01
1.667078114e-03,1.285776817e-05,7.472173990e-01
1.667078114e-03,1.314349635e-05,7.467178510e-01
1.667078114e-03,1.342922453e-05,7.462080335e-01
1.667078114e-03,1.371495271e-05,7.456879888e-01
1.667078114e-03,1.400068089e-05,7.451577633e-01
1.667078114e-03,1.428640907e-05,7.445906794e-01
1.667078114e-03,1.428640907e-05,7.445982885e-01
1.667078114e-03,1.457213725e-05,7.440668617e-01
1.667078114e-03,1.485786544e-05,7.435062725e-01
1.667078114e-03,1.514359362e-05,7.429356681e-01
1.667078114e-03,1.542932180e-05,7.423550898e-01
1.667078114e-03,1.571504998e-05,7.417645606e-01
1.667078114e-03,1.600077816e-05,7.411641376e-01
1.667078114e-03,1.628650634e-05,7.405538617e-01
1.667078114e-03,1.657223452e-05,7.399337808e-01
1.667078114e-03,1.685796271e-05,7.393039403e-01
1.667078114e-03,1.714369089e-05,7.387510096e-01
1.667078114e-03,1.714369089e-05,7.386418808e-01
1.667078114e-03,1.742941907e-05,7.380151595e-01
1.667078114e-03,1.771514725e-05,7.373563117e-01
1.667078114e-03,1.800087543e-05,7.366878851e-01
1.667078114e-03,1.828660361e-05,7.360099342e-01
1.667078114e-03,1.857233179e-05,7.353225025e-01
1.667078114e-03,2.000097270e-05,7.318505155e-01
1.667078114e-03,2.000097270e-05,7.318472013e-01
1.667078114e-03,2.142961361e-05,7.280561593e-01
1.667078114e-03,2.285825452e-05,7.240302888e-01
1.667078114e-03,2.285825452e-05,7.240306982e-01
1.667078114e-03,2.428689542e-05,7.197965237e-01
1.667078114e-03,2.571553633e-05,7.153455331e-01
1.667078114e-03,2.571553633e-05,7.153451095e-01
1.667078114e-03,2.714417724e-05,7.106976390e-01
1.667078114e-03,2.857281815e-05,7.058489820e-01
1.667078114e-03,2.857281815e-05,7.058493085e-01
1.667078114e-03,3.000145905e-05,7.008153233e-01
1.667078114e-03,3.071577951e-05,6.982277414e-01
1.667078114e-03,3.143009996e-05,6.956867639e-01
1.667078114e-03,3.143009996e-05,6.955978478e-01
1.667078114e-03,3.214442041e-05,6.929210078e-01
1.667078114e-03,3.285874087e-05,6.902945452e-01
1.667078114e-03,3.357306132e-05,6.875391100e-01
1.667078114e-03,3.428738178e-05,6.847408482e-01
1.667078114e-03,3.428738178e-05,6.847396800e-01
1.667078114e-03,3.464454200e-05,6.833228325e-01
1.667078114e-03,3.500170223e-05,6.818975693e-01
1.667078114e-03,3.535886246e-05,6.804626773e-01
1.667078114e-03,3.571602268e-05,6.790181916e-01
1.667078114e-03,3.607318291e-05,6.775640548e-01
1.667078114e-03,3.643034314e-05,6.761003530e-01
1.667078114e-03,3.678750336e-05,6.746273433e-01
1.667078114e-03,3.714466359e-05,6.731513028e-01
