1.667078114e-03,1.244703390e-04
3.332837352e-03,3.950218331e-04
4.999976777e-03,7.444225241e-04
1.000728376e-02,2.401201749e-03
1.668026596e-02,5.551311901e-03
3.332227848e-02,1.715772605e-02
5.002517832e-02,3.381365969e-02
5.499963281e-02,3.836327695e-02
8.336844585e-02,7.732057630e-02
1.000679067e-01,1.050581916e-01
1.517723913e-01,2.007313729e-01
1.667216668e-01,2.391859199e-01
2.166383263e-01,3.625849511e-01
2.500714436e-01,4.592281179e-01
3.034080956e-01,6.238917542e-01
4.334473043e-01,1.104193750e+00
4.549948446e-01,1.188625706e+00
5.004180782e-01,1.382616512e+00
5.504193691e-01,1.613592486e+00
6.504534827e-01,2.092921994e+00
7.061969878e-01,2.394748713e+00
9.101278849e-01,3.557411804e+00
1.298940669e+00,6.198063785e+00
1.499413584e+00,7.746299857e+00
1.898992482e+00,1.112325454e+01
