run,Mt,Mp,Mlr,Rt,Rp,Vimp,Vesc,vve,b,QS,xi,gamma,Mt_ME,Mp_ME,Mlr_ME
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,5.573866666666664e+23,5.573866666666664e+23,1.1147733333333328e+24,3539828.6277588736,3539828.6277588736,4584.637779753966,4584.637779753966,1.0,0.9828,158.35320614584165,1.0,1.0,0.09333333333333328,0.09333333333333328,0.18666666666666656
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,6.131253333333334e+23,5.5738666666666665e+23,6.131253333333334e+23,3654094.7045586845,3539828.627758874,21091.557648558894,4660.39676703248,4.5257,0.9236414545759302,260226.3210442711,0.0,0.9090909090909091,0.10266666666666667,0.09333333333333332,0.10266666666666667
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,6.131253333333334e+23,5.5738666666666665e+23,6.131253333333334e+23,3654094.7045586845,3539828.627758874,12878.074386340853,4660.39676703248,2.7633,0.615320753449891,7508839.35679366,0.0,0.9090909090909091,0.10266666666666667,0.09333333333333332,0.10266666666666667
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,6.68864e+23,5.5738666666666665e+23,6.68864e+23,3761629.2247258904,3539828.627758874,7360.738006160182,4734.811531043472,1.5546,0.7156487459950913,1135195.9368041232,0.0,0.8333333333333334,0.11199999999999999,0.09333333333333332,0.11199999999999999
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,6.68864e+23,5.5738666666666665e+23,6.68864e+23,3761629.2247258904,3539828.627758874,5063.880932450993,4734.811531043472,1.0695,0.812607275975853,180627.42985198268,0.0,0.8333333333333334,0.11199999999999999,0.09333333333333332,0.11199999999999999
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,7.688949999999999e+23,6.484795733333333e+23,7.68895e+23,3940509.609337076,3723020.939811659,8066.242486687905,4968.733822032712,1.6234,0.6277229666179203,2622174.6728956234,2.0697294644161293e-16,0.8433915857605179,0.12874999999999998,0.10858666666666666,0.12875
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,7.688949999999999e+23,6.484795733333333e+23,1.2685324266666667e+24,3940509.609337076,3723020.939811659,5216.176766369941,4968.733822032712,1.0498,0.21544554637361446,4611716.148501638,0.7704751964636545,0.8433915857605179,0.12874999999999998,0.10858666666666666,0.21241333333333334
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,7.2297032e+23,6.68864e+23,7.2297032e+23,3860440.5447313255,3761629.2247258904,6152.660012772558,4937.136906413543,1.2462,0.8841654908411297,74576.3571011956,0.0,0.9251610771518255,0.12105999999999999,0.11199999999999999,0.12105999999999999
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,6.131253333333334e+23,6.131253333333334e+23,1.0357438666666666e+24,3654094.7045586845,3654094.7045586845,6168.037221967874,4732.630416610047,1.3033,0.25605,6443509.827359903,0.6892857142857142,1.0,0.10266666666666667,0.10266666666666667,0.17343333333333333
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,1.1908167999999999e+24,6.68864e+23,1.1908168000000002e+24,4559092.07227725,3761629.2247258904,16338.664180136284,5462.061371355693,2.9913,0.614711779582144,9235393.20550068,4.0133039900487996e-16,0.5616850551654965,0.19939999999999997,0.11199999999999999,0.19940000000000002
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,6.967333333333333e+23,6.68864e+23,1.1386016133333334e+24,3813164.796205839,3761629.2247258904,8049.138924682185,4905.6185547794885,1.6408,0.4733486940983932,5858773.579974028,0.6606250000000002,0.96,0.11666666666666665,0.11199999999999999,0.19065666666666667
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,7.2297032e+23,6.4927584e+23,1.2544584133333335e+24,3860440.5447313255,3724544.146323069,5088.697334519672,4914.241752312575,1.0355,0.35331881807396887,3312857.512152316,0.8185859700760365,0.8980670741780935,0.12105999999999999,0.10872,0.21005666666666667
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,1.2544584133333335e+24,5.5738666666666665e+23,1.2544584133333335e+24,4638904.887535679,3539828.627758874,8845.372547460805,5437.951891959182,1.6266,0.6695690976475893,1634029.6850063405,0.0,0.4443245473443673,0.21005666666666667,0.09333333333333332,0.21005666666666667
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,1.2544584133333335e+24,1.0357438666666666e+24,1.2544584133333335e+24,4638904.887535679,4351919.319998874,8005.600850440966,5831.160937024521,1.3729,0.6375716660908598,2398768.8481763196,0.0,0.8256502213688369,0.21005666666666667,0.17343333333333333,0.21005666666666667
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,1.2823277466666666e+24,1.2786251066666666e+24,2.2805077333333335e+24,4673006.572281601,4668504.566425934,7232.020753504424,6049.369095361291,1.1955,0.3773817860711765,6578731.050401641,0.7806666562874627,0.9971125634537467,0.2147233333333333,0.2141033333333333,0.3818666666666667
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,1.956885053333333e+24,6.1015924e+23,1.956885053333333e+24,5380035.615753535,3648192.751640559,7997.879888382919,6160.745561841718,1.2982,0.656695755500886,1184338.1750302596,0.0,0.3118012675096386,0.3276766666666666,0.10216999999999998,0.3276766666666666
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,1.956885053333333e+24,6.1015924e+23,2.4104982666666666e+24,5380035.615753535,3648192.751640559,6382.53240206802,6160.745561841718,1.036,0.2278174113684108,3719606.199081481,0.7434341457048713,0.3118012675096386,0.3276766666666666,0.10216999999999998,0.4036333333333333
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,1.2941523066666666e+24,5.5738666666666665e+23,1.2941523066666666e+24,4687326.174302671,3539828.627758874,7705.1836269706755,5480.995608885101,1.4058,0.9659345165015532,1988.4145745066303,0.0,0.43069634369568227,0.2167033333333333,0.09333333333333332,0.2167033333333333
simArray_Sun_JS_frag_2Gyr_Run001_step.mat,2.4579557600000003e+24,1.0929158133333334e+24,2.457876133333333e+24,5804810.758483446,4430563.328900687,7488.314292628768,6805.08387189092,1.1004,0.9852788617802878,157.22633643540254,-7.285709081680728e-05,0.44464421659620645,0.41158000000000006,0.18300666666666665,0.41156666666666664
