J,M,QS,syn,src,lJ,lM,lQS
2.309030775686893,1.0526133546316174,14.295986150364941,1,TM,0.36342972140653196,0.02226887566228426,1.155214118762907
2.307650915337623,1.050645250922987,15.812506656449678,1,TM,0.36317011253876236,0.02145610178113984,1.199000721341
2.299680783399942,1.0471850511708023,17.802146143992964,1,TM,0.3616675561787571,0.020023433924316932,1.2504723619891713
2.2845089868661055,1.041092687328394,20.238909039589892,1,TM,0.3587928708350079,0.017489395988292394,1.3061870985405042
2.3099548850019396,1.054605575956479,13.11347465758968,1,TM,0.3636034979068449,0.023090063222193223,1.1177177812917665
2.3132589300216377,1.0550720599392645,13.601576639537026,1,TM,0.36422424737754683,0.023282122349592274,1.1335892529411018
2.3106229661800834,1.0535912184861305,14.684997040727183,1,TM,0.36372908564954637,0.022672142193942084,1.1668738633412172
2.3125825990224804,1.0519378983424676,16.307333963377527,1,TM,0.3640972534798429,0.021990101791795228,1.2123829653545113
2.2986205289344723,1.0476662912383663,18.42707683735501,1,TM,0.36146728105946824,0.020222970669726274,1.2654564467711544
2.287053938679752,1.042583242770422,21.015268475565698,1,TM,0.3592764072804434,0.01811074031973338,1.3225349426027893
2.3114154882177864,1.035877347133645,6.07211261353254,0,TM,0.3638780190496165,0.0153083358952324,0.7833398173970167
2.1177745177207954,1.0300876493546969,5.521767263336534,1,TM,0.32587971831982265,0.012874180056195379,0.7420780976348672
2.317721573553668,1.039818194183807,8.78594695719749,1,TM,0.36506126323588894,0.01695741221710324,0.9437885770005545
2.5419719224151778,1.0478611032786913,8.789981401455261,1,TM,0.4051707492048116,0.02030371959678547,0.9439879561597905
2.571963691816274,1.0481442128966956,9.18530228437929,1,TM,0.41026483339870834,0.020421040812215466,0.9630934533231201
2.539079822461439,1.0451896615855791,9.946604516764722,0,TM,0.4046763542449766,0.01919510528554026,0.9976748504639656
2.512546065670553,1.0407732393955098,11.05341162268877,1,TM,0.40011403296909337,0.01735611701598682,1.0434963432003088
2.3108691602608564,1.027049630460354,12.491278198087338,0,TM,0.3637753567359976,0.011591430660833651,1.0966068808059592
2.54968249769964,1.0519775720120113,10.609265768322144,1,TM,0.4064861027546964,0.022006480829835934,1.0256853288777843
2.5680624615414334,1.051860629269958,10.773903448914426,1,TM,0.40960558262613,0.02195819994246185,1.0323730792671506
2.562717933422748,1.0504338481887665,11.426792530768148,1,TM,0.4087008080183111,0.021368707602329624,1.0579243422348554
2.5528407291115505,1.048051175748605,12.52879015955207,1,TM,0.4070237201604204,0.020382489520410205,1.0979091354475747
2.476128833748859,1.0427729984721348,14.050176338462943,1,TM,0.3937732374121324,0.018189777035629823,1.147681774941513
2.500771179559836,1.038898912234892,15.970061945200804,1,TM,0.39807395562462655,0.01657329154717568,1.2033066006974507
2.582584759243929,1.0560970175954705,11.84797449487131,1,TM,0.4120545837706981,0.023703816181682425,1.0736441106086474
2.580405928178683,1.0557405580242412,11.469649581436832,1,TM,0.41168803096357637,0.02355720601803738,1.0595501496211388
2.570764314033508,1.0544438217136192,11.729845827992069,1,TM,0.4100622626379667,0.023023446503482137,1.0692923039746658
2.561184110769102,1.0530518954871226,12.561982306799784,1,TM,0.40844079885777346,0.02244977419435434,1.099058177376872
2.5521182435227905,1.0515799494539613,13.910744577344014,1,TM,0.40690079203965385,0.021842296791000904,1.1433503763743302
2.5522618961096653,1.049400276644172,15.736418741186354,1,TM,0.40692523674169434,0.02094117435157256,1.1969059035055214
2.544414250121187,1.0450405401100198,18.011947155363917,1,TM,0.4055878191996008,0.019133138298338532,1.2555606641310286
2.581761128547279,1.0567661863664035,12.039984521099361,1,TM,0.4119160577008004,0.023978908590741515,1.0806259285824822
2.583587989582894,1.056522687038598,11.643911564718119,1,TM,0.41222325695564577,0.02387882722826247,1.0660988983211552
2.569803778858483,1.0553060826482714,11.937928947664176,1,TM,0.4098999634043006,0.023378441364206175,1.0769289897232543
2.5619043098561916,1.0542608416375965,12.841644872312914,1,TM,0.4085629043011213,0.02294807583740882,1.108620655603259
2.5640701382263535,1.0530027617772668,14.291211391000912,1,TM,0.40892990081092095,0.02242951023871949,1.1550690432156803
2.5474824966081178,1.0498782998614442,16.241979924499226,1,TM,0.4061112087127628,0.021138959296738546,1.2106389693554434
2.5428224559967716,1.0455972161385445,18.6639783836007,1,TM,0.4053160380865697,0.0193644182820537,1.2710042227912486
2.752118941581104,1.0471485062148391,8.374232936305667,1,TM,0.4396671993876358,0.020008277529900347,0.9229450369881239
2.609100750916535,1.0390238444698698,7.793403059332595,1,TM,0.4164908497871783,0.0166255142586822,0.8917271376683397
2.80537663773944,1.04845225048465,7.6457554474156595,1,TM,0.44799117600615873,0.020548656238423203,0.8834204028202776
2.7192453214209573,1.0442310903465997,7.898483313614993,1,TM,0.4344483899829934,0.018796619505764396,0.8975437049910436
2.804852257392796,1.0473304682371452,8.518593556096443,1,TM,0.44790999019506755,0.020083737922070632,0.9303678974372466
2.7842750043713003,1.0517483440561837,9.994666250051836,1,TM,0.44471212856156156,0.02191183690692992,0.9997682963850143
2.7804398612370647,1.0503692939433844,9.440572518663393,1,TM,0.44411350606088007,0.021342017283756277,0.9749983326621338
2.7009841313842373,1.0464838751248453,9.438499744493608,1,TM,0.4315220326611622,0.019732540846464818,0.9749029684010898
2.7336756309438526,1.0471718312004346,9.934558481439025,1,TM,0.4367469813186569,0.020017951229146843,0.9971485706571526
2.7969837875423473,1.0494082141757763,10.882353084403993,1,TM,0.4466899490310543,0.020944459287945586,1.036722812740684
2.7955270733917716,1.0473201144570825,12.249330570790619,1,TM,0.44646370255703044,0.020079444519070403,1.0881123550388587
2.8817829325171327,1.0434372355536985,14.014281885840967,1,TM,0.4596612649025492,0.018466330667897244,1.1465708487244217
2.7520022558586454,1.05178824141282,10.696896856539041,1,TM,0.439648785561497,0.021928311259647542,1.029257808195322
2.577316565143916,1.045485974154018,10.11641385933842,1,TM,0.41116776509786235,0.01931821086160699,1.0050265878877114
2.716524245527392,1.0506661505182533,10.198987053747205,1,TM,0.4340135855529781,0.02146474074716095,1.0085570405057178
2.828582924152792,1.0545029899067944,10.863354350024036,1,TM,0.45156891525746884,0.023047815463064548,1.0359639459502044
2.742562233774016,1.0497369489777866,12.046705940430929,1,TM,0.4381564912979742,0.02108048390805832,1.0808683093617504
2.805118784834357,1.050606227657042,13.706897204449106,1,TM,0.4479512565033467,0.021439970833235223,1.1369391557747166
2.839199179018826,1.0481561973316609,15.816891004630499,1,TM,0.45319586075921614,0.020426006487887543,1.199121121878138
2.688846700101912,1.0505380002697602,12.212890241589376,1,TM,0.42956604238779617,0.021411766412588826,1.0868184540706274
2.8398904357725243,1.0566142223487007,10.80068468203497,1,TM,0.45330158509728974,0.023916452126039035,1.0334512873577326
2.719192218393815,1.0515415427482568,10.197018263442427,1,TM,0.43443990874127936,0.021826434825423343,1.0084731971496539
2.6780697980882775,1.0495554185884408,10.308889096362796,1,TM,0.4278218917684332,0.021005375125875195,1.013211867483909
2.815735286799957,1.0547381406122336,11.03984974158792,1,TM,0.4495918234509426,0.02314465091040469,1.042963162447228
2.82214706428448,1.0537030454068836,12.318465361885679,1,TM,0.4505796414321734,0.02271823524842343,1.0905566066613217
2.802111505210065,1.0510964656869994,14.097991005828781,1,TM,0.44748541329590324,0.021642575774234018,1.1491572291627559
