1.667078114e-03,1.804297974e+01
3.332837352e-03,1.622839089e+01
4.999976777e-03,1.518687595e+01
1.000728376e-02,1.335437025e+01
1.668026596e-02,1.201687241e+01
3.332227848e-02,1.025221434e+01
5.002517832e-02,9.210116760e+00
5.499963281e-02,9.020970779e+00
8.336844585e-02,7.975659848e+00
1.000679067e-01,7.491374450e+00
1.517723913e-01,6.490649750e+00
1.667216668e-01,6.286478176e+00
2.166383263e-01,5.623093996e+00
2.500714436e-01,5.245655562e+00
3.034080956e-01,4.795762691e+00
4.334473043e-01,3.998383800e+00
4.549948446e-01,3.917523897e+00
5.004180782e-01,3.701107682e+00
5.504193691e-01,3.479824571e+00
6.504534827e-01,3.117967344e+00
7.061969878e-01,2.881591347e+00
9.101278849e-01,2.381062941e+00
1.298940669e+00,1.649797497e+00
1.499413584e+00,1.321376668e+00
1.898992482e+00,7.929672959e-01
