time_yr,target,projectile,Mt_Mearth,Mp_Mearth,Rt_km,Rp_km,vimp/vesc,vimp_km/s,b,m_frag_Mearth,Regime
20009.06,E53,E77,0.17684937278117455,0.025,4380.547,2281.955,1.031,5.0700,0.4354574387855915,0.0,Merge
65842.939,E10,P281,0.030000000000000002,0.0025,2424.939,1059.189,2.1667,5.9122,0.6880614704420476,0.0,Merge
66767.922,E40,P197,0.027500000000000004,0.0025,2355.617,1059.189,1.3097,3.4682,0.5458580376520669,0.0,Merge
75505.472,E68,P523,0.030000000000000002,0.0025,2424.939,1059.189,2.5734,7.0219,0.9842076930529022,0.0,Hit+Run
139628.614,URANUS,K249,15.92942390942391,0.02,19636.34,2118.379,1.0004,24.200,0.9137266327392426,0.0,Graze+Merge
186901.591,E6,E40,0.030000000000000016,0.030000000000000002,2424.939,2424.939,1.1281,3.5449,0.9423500000000002,0.0,Hit+Run
217704.425,E13,P298,0.15015905455832176,0.0025,4148.053,1059.189,1.7672,8.5487,0.44003795553649316,0.0,Merge
220416.651,E37,P457,0.0825,0.0025,3397.388,1059.189,1.4268,5.5671,0.9374385700139446,0.0,Hit+Run
235059.284,E5,E23,0.07500000000000004,0.0625,3291.149,3097.090,1.0169,4.2149,0.8762846102246425,0.0,Graze+Merge
274241.755,E44,P324,0.025,0.0025000000000000022,2281.955,1059.189,2.6139,6.6998,0.8634991832973339,0.0,Hit+Run
304000.91,NEPTUNE,K489,16.06942390942391,0.02,19693.69,2118.379,0.9998,24.260,0.8868091481157826,0.0,Perfect
348179.795,E28,P954,0.04,0.0025,2668.991,1059.189,4.3095,12.999,0.8897875691684455,0.0,Hit+Run
399215.157,E32,P383,0.025,0.0025,2281.955,1059.189,1.2814,3.2844,0.9757820795514524,0.0,Hit+Run
402420.48,NEPTUNE,K376,16.08942390942391,0.02,19701.86,2118.379,1.0,24.275,0.5775055657397351,0.0,Merge
497847.46,E6,E39,0.030000000000000016,0.030000000000000002,2424.939,2424.939,1.1502,3.6144,0.6506000000000001,0.0,Hit+Run
529618.541,E3,P20,0.0475,0.0025000000000000022,2826.344,1059.189,2.1423,6.8658,0.9316561159200696,0.0,Hit+Run
540874.877,E2,P65,0.09250000000000003,0.0025,3529.455,1059.189,1.0117,4.1127,0.8107068270985359,0.0,Graze+Merge
578840.235,NEPTUNE,K223,16.10942390942391,0.02,19710.02,2118.379,1.0003,24.293,0.6627675475353891,0.0,Merge
600891.014,E65,E66,0.030000000000000002,0.027500000000000004,2424.939,2355.617,1.1492,3.5608,0.4061047021212514,0.0,Merge
696246.349,E14,P99,0.027500000000000004,0.0025,2355.617,1059.189,2.5409,6.7285,0.42817399718265875,0.0,Merge
713163.738,E21,P211,0.025,0.0025,2281.955,1059.189,3.2857,8.4217,0.9982523185220149,0.0,Hit+Run
716912.761,NEPTUNE,K410,16.12942390942391,0.02,19718.17,2118.379,0.9998,24.291,0.19296881287761092,0.0,Perfect
817110.675,E62,E78,0.025,0.025,2281.955,2281.955,1.277,3.7762,0.09725,0.008401598401598402,Fragment
821788.783,E29,P383,0.027500000000000004,0.0025,2355.617,1059.189,1.2673,3.3559,0.8555891875393131,0.0,Hit+Run
885312.583,E22,P79,0.03250000000000001,0.0025000000000000022,2490.510,1059.189,6.3988,17.951,0.7829281831030956,0.0,Hit+Run
904709.95,E4,E2,0.24820566108352238,0.09500000000000003,4904.533,3560.970,1.363,7.7536,0.8912800175385799,0.0,Hit+Run
957400.82,E14,P443,0.030000000000000002,0.0025,2424.939,1059.189,3.8161,10.412,0.37736893513420816,0.0,Merge
978939.564,E4,P106,0.24820566108352238,0.0025000000000000022,4904.533,1059.189,1.6593,9.6118,0.3013253577159253,0.0,Merge
987882.453,E4,E2,0.2507056610835224,0.09500000000000003,4920.945,3560.970,1.2787,7.2934,0.7256174821565003,0.0,Hit+Run
993861.928,E4,E2,0.2507056610835224,0.09500000000000003,4920.945,3560.970,1.0482,5.9787,0.9409182318392998,0.0,Hit+Run
1006919.42,E14,E39,0.0325,0.030000000000000002,2490.510,2424.939,3.0458,9.7032,0.46497090296608923,0.03656864468864469,Fragment
1019917.453,E28,E29,0.04,0.027500000000000004,2668.991,2355.617,1.398,4.5778,0.72060411528958,0.0,Hit+Run
1033924.129,E70,P958,0.025,0.0025,2281.955,1059.189,1.2915,3.3103,0.8012791598864449,0.0,Hit+Run
1070165.847,P12,P115,0.0025,0.0025,1059.189,1059.189,7.874,10.807,0.6951,0.0,Graze+Frag
1095244.878,E60,P840,0.030000000000000002,0.0025,2424.939,1059.189,1.2516,3.4152,0.5297920203322745,0.0,Merge
1132161.795,E13,E3,0.15265905455832177,0.0475,4170.947,2826.344,2.238,10.693,0.5441616649200419,0.030619380619380625,Fragment
1161436.817,E4,P12,0.2507056610835224,0.005,4920.945,1334.495,1.1201,6.3981,0.8998677125914359,0.0,Hit+Run
1179025.143,E4,P12,0.2507056610835224,0.005,4920.945,1334.495,1.0066,5.7498,0.5032305059399788,0.0,Merge
1264799.794,P36,P136,0.0025000000000000022,0.0025,1059.189,1059.189,9.1507,12.560,0.6804500000000001,0.0,Graze+Frag
1318987.861,P14,P119,0.0025,0.0025,1059.189,1059.189,11.073,15.198,0.6085,0.0,Graze+Frag
1323109.551,E33,E22,0.05750000000000001,0.03250000000000001,3012.195,2490.510,3.9021,14.099,0.6262833321672745,0.0411218981018981,Graze+Frag
1345129.073,E13,P158,0.16953967393894115,0.0025,4319.342,1059.189,3.8863,19.637,0.9363805782260978,0.0,Hit+Run
1346541.199,E13,P158,0.16953967393894115,0.0025,4319.342,1059.189,1.0689,5.4010,0.7538425804295352,0.0,Merge
1356530.69,NEPTUNE,K620,16.14942390942391,0.02,19726.32,2118.379,0.9999,24.304,0.7520396164318568,0.0,Perfect
1393460.782,E27,P336,0.04500000000000004,0.0025,2775.862,1059.189,3.3971,10.681,0.19774584013181315,0.0,Merge
1413268.829,E13,P19,0.17203967393894115,0.0024999999999999905,4340.469,1059.189,1.4512,7.3713,0.47780329597274196,0.0,Merge
1524898.881,P20,P164,0.0025000000000000022,0.0025,1059.189,1059.189,10.491,14.400,0.6187,0.0,Graze+Frag
1525485.583,E4,P134,0.2557056610835224,0.0025000000000000022,4953.444,1059.189,1.7755,10.395,0.995527396660534,0.0,Hit+Run
1557038.238,E10,E21,0.0325,0.025,2490.510,2281.955,2.046,6.3449,0.5800360130072104,0.0,Hit+Run
1566302.412,E67,P123,0.025,0.0025,2281.955,1059.189,9.3543,23.976,0.9462087863166389,0.0,Hit+Run
1578689.064,E13,P51,0.17453967393894115,0.0025,4361.393,1059.189,2.2214,11.342,0.580115533782671,0.0,Merge
1587683.442,E40,P522,0.030000000000000002,0.0025,2424.939,1059.189,3.6277,9.8988,0.704208573531523,0.0,Hit+Run
1603339.74,E6,E40,0.030000000000000016,0.030000000000000002,2424.939,2424.939,1.2484,3.9230,0.23095000000000004,0.008782883782883784,Fragment
1646462.496,E31,P273,0.030000000000000002,0.0025,2424.939,1059.189,4.7242,12.890,0.31347651859912823,0.006981684981684983,Fragment
1741803.786,E21,P275,0.025,0.0025,2281.955,1059.189,3.8928,9.9778,0.7663785759534434,0.0,Hit+Run
1746798.935,P58,P131,0.0025,0.0024999999999999905,1059.189,1059.189,12.027,16.509,0.7544000000000004,0.0,Graze+Frag
1786879.04,E65,P753,0.05750000000000001,0.0025,3012.195,1059.189,1.5974,5.4786,0.6444052701184695,0.0,Merge
1801416.989,E10,P349,0.0325,0.0025,2490.510,1059.189,6.1722,17.315,0.4088289741860147,0.011262737262737263,Fragment
1814405.874,URANUS,K912,15.94942390942391,0.02,19644.55,2118.379,1.0007,24.218,0.24967606262077602,0.0,Merge
1852539.855,E50,P460,0.0825,0.0025,3397.388,1059.189,2.5319,9.8789,0.6023178126112204,0.0,Merge
1855444.811,E2,P385,0.09500000000000003,0.0025,3560.970,1059.189,2.0368,8.3594,0.9574207694560138,0.0,Hit+Run
1893320.858,E4,P173,0.2557056610835224,0.0025000000000000022,4953.444,1059.189,2.0627,12.076,0.9732837358612669,0.0,Hit+Run
1894406.527,P13,P309,0.0025,0.0025,1059.189,1059.189,14.298,19.626,0.8207,0.0,Graze+Frag
1910796.219,E68,P469,0.030000000000000002,0.0025,2424.939,1059.189,1.2886,3.5161,0.6767863381123275,0.0,Merge
1914396.498,E5,P48,0.13750000000000004,0.0025,4028.049,1059.189,2.7521,12.898,0.986417878236815,0.0,Hit+Run
1933476.172,E35,P636,0.027500000000000004,0.0025,2355.617,1059.189,1.4278,3.7809,0.90753296390125,0.0,Hit+Run
1942512.968,E33,P291,0.04887878787878791,0.0025,2853.430,1059.189,1.7438,5.6456,0.8324832445787835,0.0,Hit+Run
1949878.996,P14,FRAG0012,0.005,0.006123876123876125,1334.495,1427.806,8.903,15.961,0.8738976500267318,0.0,Hit+Run
1950069.545,E2,P20,0.09500000000000003,0.005,3560.970,1334.495,2.8113,11.351,0.7398402838087935,0.0,Hit+Run
2000120.548,E4,P354,0.2557056610835224,0.0025,4953.444,1059.189,1.877,10.989,0.6321318863436178,0.0,Merge
2055719.604,E33,P20,0.04887878787878791,0.005,2853.430,1334.495,4.1462,13.286,0.832333375851972,0.0,Hit+Run
2082136.636,P47,P163,0.0025,0.0025,1059.189,1059.189,9.5954,13.170,0.8325,0.0,Graze+Frag
2104136.677,E4,P179,0.2582056610835224,0.0024999999999999905,4969.535,1059.189,2.0104,11.811,0.22709725721971255,0.0,Merge
2200845.368,E2,P344,0.09500000000000003,0.0025,3560.970,1059.189,5.0776,20.839,0.9667467969156964,0.0,Hit+Run
2212029.204,E28,P397,0.04,0.0025,2668.991,1059.189,3.6979,11.154,0.09027452930416043,0.0,Merge
2229630.396,E71,P835,0.025,0.0025,2281.955,1059.189,2.3416,6.0018,0.5151763299542664,0.0,Merge
2239440.862,E13,P442,0.17703967393894116,0.0025,4382.117,1059.189,2.8339,14.543,0.9238892142883167,0.0,Hit+Run
2248490.134,P37,P97,0.0025,0.0025,1059.189,1059.189,6.7942,9.3256,0.6259,0.0,Graze+Frag
2274884.458,E10,P370,0.02373726273726274,0.0025,2242.869,1059.189,4.1231,10.383,0.7854656875712508,0.0,Hit+Run
2319264.448,E53,P632,0.20184937278117454,0.0025,4577.935,1059.189,1.0853,5.8380,0.7234227701726638,0.0,Merge
2341131.479,E32,P134,0.025,0.0025000000000000022,2281.955,1059.189,10.410,26.683,0.9591855200686356,0.0,Hit+Run
2359761.361,P20,P172,0.005,0.0025,1334.495,1059.189,12.496,19.761,0.4927243913891981,0.00747027639027639,Fragment
2417815.932,P14,P216,0.005,0.0025,1334.495,1059.189,11.178,17.677,0.8479676389488237,0.0,Graze+Frag
2490503.745,E13,P134,0.17703967393894116,0.0025000000000000022,4382.117,1059.189,4.1163,21.124,0.8611530132832088,0.0,Hit+Run
2520928.549,E13,P26,0.17703967393894116,0.0025,4382.117,1059.189,2.1183,10.871,0.9478078942607393,0.0,Hit+Run
2523786.193,E37,P463,0.0825,0.0025,3397.388,1059.189,2.3473,9.1587,0.5186138563718684,0.0,Merge
2542477.485,E36,P180,0.027500000000000004,0.0025,2355.617,1059.189,3.9271,10.399,0.9128446116832807,0.0,Hit+Run
2549740.153,E44,FRAG0018,0.025,0.005874458874458874,2281.955,1408.152,6.4241,16.601,0.40678218515993425,0.029394658674658673,Fragment
2592759.977,E28,P473,0.0425,0.0025,2723.475,1059.189,3.9474,12.163,0.7770115635510306,0.0,Hit+Run
2595287.164,E13,E2,0.17703967393894116,0.09500000000000003,4382.117,3560.970,1.0427,5.4517,0.46192955045751566,0.016501498501498502,Fragment
2601568.449,P14,P43,0.007499833499833501,0.0025,1527.604,1059.189,13.643,23.966,0.8883487916656374,0.0,Hit+Run
2617647.276,E14,P49,0.02593256743256743,0.0025000000000000022,2309.984,1059.189,5.5201,14.326,0.5530922968284535,0.007698021978021979,Fragment
2652807.894,E48,P341,0.03250000000000001,0.0025,2490.510,1059.189,3.7108,10.410,0.18873347186551911,0.0,Merge
2677384.252,P43,P233,0.0025,0.0025000000000000022,1059.189,1059.189,9.7595,13.395,0.9828999999999998,0.0,Hit+Run
2688769.078,P80,P410,0.0025,0.0025,1059.189,1059.189,5.7932,7.9516,0.8303499999999999,0.0,Hit+Run
2723749.233,E6,E48,0.051217116217116235,0.03500000000000001,2898.225,2552.798,1.1285,4.0097,0.8675498089888063,0.0,Hit+Run
2834785.238,P44,FRAG0011,0.0025000000000000022,0.006123876123876125,1059.189,1427.806,9.9205,16.504,0.7534867852543123,0.008114265734265734,Graze+Frag
2855296.762,P20,FRAG0004,0.007499833499833501,0.006094572094572095,1527.604,1425.525,13.003,24.926,0.6632606475501706,0.013478448218448218,Graze+Frag
2865053.586,E32,P904,0.025,0.0025,2281.955,1059.189,5.1409,13.176,0.9727086426101899,0.0,Hit+Run
2895949.243,P14,P344,0.007499833499833501,0.0025,1527.604,1059.189,10.937,19.211,0.911556999810595,0.0,Hit+Run
2927971.333,E32,P330,0.025,0.0025,2281.955,1059.189,2.349,6.0208,0.8382970003789828,0.0,Hit+Run
3039558.975,E4,P26,0.2607056610835224,0.0025,4985.522,1059.189,1.1712,6.9047,0.7352036631289628,0.0,Merge
3050471.859,E13,FRAG0031,0.25553817543744267,0.008066933066933067,4952.362,1565.176,1.8232,10.359,0.8874306969898456,0.0,Hit+Run
3077528.777,E5,P415,0.13750000000000004,0.0025,4028.049,1059.189,4.1191,19.305,0.5368368289007551,0.0,Merge
3151266.843,E13,P62,0.25553817543744267,0.0025000000000000022,4952.362,1059.189,1.6732,9.7938,0.780640072500711,0.0,Merge
3240410.966,E13,E41,0.2580381754374427,0.027500000000000004,4968.460,2355.617,2.5898,14.447,0.6436407958239435,0.0127985347985348,Fragment
3249919.765,E5,P122,0.14000000000000004,0.0025000000000000022,4052.315,1059.189,1.4103,6.6527,0.15736745518951575,0.0,Merge
3330931.596,E13,FRAG0033,0.2727396406389079,0.0063992673992674,5061.080,1448.896,1.1017,6.4452,0.8054999010117716,0.0,Hit+Run
3347947.243,E14,P232,0.020734598734598732,0.0025,2144.004,1059.189,5.5041,13.244,0.13252798377067618,0.012051282051282053,Fragment
3362058.162,E4,FRAG0010,0.2632056610835224,0.006123876123876125,5001.407,1427.806,1.8207,10.528,0.8753922365670662,0.0,Hit+Run
